fav_grp,popl_by_co_yn,reason,yr_listened,gender_pref,daily_MV_hr,daily_music_hr,watch_MV_yn,obsessed_yn,news_medium,pursuit,time_cons_yn,life_chg,pos_eff,yr_merch_spent,money_src,concert_yn,crazy_ev,age,country,job,gender,num_gr_like,bts_vs_others
bts,3,3,1.5,3,2.5,3,1,3,1,3,1,1,2,75,4,1,2,18,4,2,0,1,1
"bigbang,got7,all the above",3,3,4,3,1,10,1,3,3,1,2,0,1,500,3,1,0,24,2,2,0,3,0
bts,3,3,1.5,3,1,3,1,3,2,3,2,4,1,75,3,3,2,12,6,2,0,1,1
bts,1,3,4,3,1,10,0,3,1,3,2,0,1,0,4,2,0,24,4,2,0,1,1
"bts,exo,blackpink",3,3,4,3,1,5,1,3,2,3,2,1,1,50,1,1,0,24,1,2,0,3,1
blackpink,2,3,3.5,3,1,3,1,3,1,3,1,4,2,75,3,3,1,18,5,2,1,1,0
g idle,4,3,1.5,3,1,3,1,3,3,3,2,0,0,50,4,3,0,18,6,2,1,1,0
bts,3,3,3.5,3,2.5,3,1,3,1,3,2,1,2,150,3,3,0,12,1,2,0,1,1
tvxq,3,3,4,3,1,3,1,3,3,3,2,1,1,0,1,2,0,24,1,1,0,1,0
bts,3,3,3.5,3,1,3,1,3,1,3,2,1,1,0,3,3,1,18,6,2,0,1,1
bts,1,3,1.5,3,1,3,1,3,2,3,2,1,2,150,3,1,0,18,1,2,0,1,1
bts,1,3,4,3,3.5,5,1,3,3,3,2,3,1,75,3,3,1,18,1,unemployed,0,1,1
bts,1,3,4,3,1,5,1,3,1,3,1,3,1,75,2,1,2,18,1,2,0,1,1
exo,3,3,7,3,1,5,1,3,1,3,2,0,1,0,4,2,1,12,1,2,0,1,0
"monsta x,got7,stray kids,treasure13,itzy,day6,twice",2,3,3.5,3,4.5,5,1,3,1,2,2,3,1,0,3,3,0,18,8,2,0,7,0
stray kids,4,3,3.5,3,2.5,5,1,3,1,1,2,3,1,75,3,3,0,18,8,2,0,1,0
bts,3,3,3.5,3,2.5,5,1,3,1,3,2,3,2,75,3,3,2,18,1,2,0,1,1
twice,3,3,3.5,3,1,.5,1,3,3,3,1,0,2,50,2,1,0,24,1,2,1,1,0
bts,3,3,1.5,3,1,5,1,3,2,3,1,3,1,50,3,3,2,18,1,2,0,1,1
bts,3,3,3.5,3,1,5,1,3,2,3,2,3,1,50,2,3,0,18,8,2,0,1,1
"loona,iz*one,dreamcatcher",3,3,1.5,3,1,5,1,3,3,3,2,1,2,75,2,3,0,18,6,2,0,3,0
bts,4,3,3.5,3,1,5,1,3,1,1,2,4,1,75,3,1,0,18,3,2,0,1,1
bts,3,3,8,3,4.5,5,1,3,1,3,3,1,2,500,4,3,0,18,7,2,0,1,1
bts,1,3,4,3,1,3,1,3,2,3,2,3,1,150,3,1,2,18,1,2,0,1,1
bts,3,3,1.5,3,1,10,1,3,3,1,1,4,1,50,4,1,2,18,6,2,0,1,1
"bts,exo,blackpink,monsta x",1,3,3.5,3,1,5,1,3,2,3,1,4,2,75,2,1,0,24,1,2,0,4,1
"bts,monsta x,ikon,nct,ateez",3,3,1.5,3,1,3,1,3,3,1,2,1,0,50,2,1,2,24,1,2,0,5,1
bts,1,3,3.5,3,2.5,3,1,3,1,3,2,1,1,75,2,3,0,18,1,2,0,1,1
bts,3,3,1.5,3,1,5,1,3,1,3,3,4,1,50,3,3,0,18,6,2,0,1,1
stray kids,1,3,3.5,3,2.5,5,1,3,1,3,1,4,2,0,2,3,1,18,1,2,0,1,0
bts,3,3,1.5,3,1,5,1,3,1,3,2,1,1,0,3,2,0,18,1,2,0,1,1
"bts,blackpink,stray kids,got7",3,3,1.5,3,1,10,1,3,1,3,2,1,2,500,3,1,0,18,1,2,0,4,1
"bts,exo,blackpink,monsta x",3,3,3.5,3,2.5,5,1,3,1,3,2,3,2,50,2,1,1,18,1,2,0,4,1
got7,3,3,1.5,3,3.5,5,1,3,2,3,3,3,0,500,2,1,2,18,1,2,0,1,0
bts,2,3,1,3,1,.5,1,3,1,3,1,3,1,0,2,3,1,18,6,2,0,1,1
"bts,exo,stray kids",3,3,4,3,4.5,5,1,3,1,3,3,4,1,500,3,3,2,12,3,1,0,3,1
bts,3,3,3.5,3,2.5,5,1,3,2,3,2,3,1,50,2,3,2,18,1,2,0,1,1
vixx,3,3,4,3,2.5,5,1,3,2,3,2,0,2,75,4,1,2,18,1,2,0,1,0
bts,1,3,1,3,1,3,1,3,1,3,2,0,1,50,1,2,0,29,8,1,0,1,1
(g)i-dle,4,3,1.5,3,2.5,5,1,3,1,3,2,4,2,50,3,3,0,18,1,2,0,1,0
bts,1,3,3.5,3,2.5,3,1,3,2,3,1,3,1,75,2,3,1,18,1,2,0,1,1
seventeen,3,3,1.5,3,1,3,1,3,1,3,2,3,1,75,4,1,2,18,1,2,0,1,0
"exo,monsta x",3,3,4,3,1,3,1,3,1,3,2,3,1,0,2,2,0,18,1,2,0,2,0
"bts,got7,twice",1,3,3.5,3,2.5,3,1,3,1,3,1,3,0,0,4,2,0,24,1,unemployed,0,3,1
bts,2,3,3.5,3,3.5,3,1,3,1,3,1,0,0,30,3,3,0,18,5,2,0,1,1
bts,3,3,3.5,3,2.5,10,1,3,1,3,2,1,2,75,2,3,0,18,1,2,0,1,1
bts,3,3,4,3,1,5,1,3,1,3,1,4,1,0,3,3,2,18,1,2,0,1,1
bts,4,3,4,3,1,3,1,3,1,3,2,4,1,75,2,3,2,18,2,2,0,1,1
bts,3,3,3.5,3,1,5,1,3,2,3,3,4,2,150,4,1,2,18,1,2,0,1,1
bts,3,3,1.5,3,1,3,1,3,2,1,2,0,1,75,3,3,0,18,2,2,0,1,1
bts,3,3,3.5,3,2.5,3,1,3,3,3,2,1,1,10,2,3,0,29,7,1,0,1,1
bts,3,3,1.5,3,2.5,3,0,3,2,1,2,0,0,75,1,3,0,24,1,1,2,1,1
bts,4,3,3.5,3,2.5,3,1,3,1,3,2,3,1,0,3,3,0,18,2,2,0,1,1
